Date (GMT),Open,High,Low,Last,Volume,MACD,MACD Signal Line,BBandUp,BBandMid,BBandLow
10/30/2020 23:00,13597,13600,13544.86,13553.09,480.6531,,,,,
10/30/2020 23:30,13553.09,13622.52,13553.09,13615.57,655.3268,,,,,
10/31/2020 0:00,13615.56,13637,13535.05,13560.1,778.9061,,,,,
10/31/2020 0:30,13560.1,13577.15,13511.45,13557.98,645.0756,,,,,
10/31/2020 1:00,13557.99,13648,13546.53,13615.06,1148.332,,,,,
10/31/2020 1:30,13615.05,13657.16,13588.78,13591.36,861.6386,,,,,
10/31/2020 2:00,13591.35,13643.62,13571.3,13636.14,568.5373,,,,,
10/31/2020 2:30,13636.15,13740,13635.27,13687.31,1791.1294,,,,,
10/31/2020 3:00,13685.78,13717.05,13559.74,13611.71,1222.3967,,,,,
10/31/2020 3:30,13611.72,13621.95,13411.5,13481.87,2179.7335,,,,,
10/31/2020 4:00,13481.88,13510.17,13458,13491.55,834.3448,,,,,
10/31/2020 4:30,13491.55,13518.3,13452.5,13511.31,613.3904,,,,,
10/31/2020 5:00,13511.48,13518.66,13474.42,13515.37,402.6974,,,,,
10/31/2020 5:30,13515.38,13525.99,13485.1,13516.98,429.9101,,,,,
10/31/2020 6:00,13516.98,13523.12,13473.1,13473.27,455.0157,,,,,
10/31/2020 6:30,13473.26,13528.49,13463.87,13528.49,593.1746,,,,,
10/31/2020 7:00,13528.49,13612.05,13528.48,13612.04,878.7497,,,,,
10/31/2020 7:30,13612.05,13613.87,13550.73,13562.91,705.835,,,,,
10/31/2020 8:00,13562.91,13587.4,13557.41,13576.14,486.9903,,,,,
10/31/2020 8:30,13576.15,13833,13575,13818.01,4972.4132,,,13731.95216,13575.813,13419.67384
10/31/2020 9:00,13818,13840,13711.58,13739.95,2429.6904,,,13763.1233,13591.4451,13419.76689
10/31/2020 9:30,13739.95,13809.68,13721.9,13740.65,2022.8962,,,13791.72257,13605.65509,13419.5876
10/31/2020 10:00,13740.64,13956.22,13740.42,13893.22,4300.389,,,13863.72982,13633.04222,13402.35462
10/31/2020 10:30,13893.48,14100,13572.4,13754.99,11034.8428,,,13883.42202,13644.6563,13405.89057
10/31/2020 11:00,13755,13860.28,13740.95,13821,2296.6206,,,13919.11496,13661.45093,13403.78691
10/31/2020 11:30,13821.01,13897.56,13805,13852.74,1690.8034,104.2364586,,13957.14599,13679.66894,13402.19189
10/31/2020 12:00,13852.74,13950,13820,13940.12,1597.5254,113.1267382,,14016.31339,13704.4738,13392.63422
10/31/2020 12:30,13940.11,13941.21,13855.41,13894.18,1991.11,115.1381341,,14055.90285,13722.54106,13389.17927
10/31/2020 13:00,13894.18,13922.73,13860.36,13878.5,1129.1752,114.1510724,,14083.01825,13737.39429,13391.77033
10/31/2020 13:30,13878.5,13930,13818.24,13895.73,1387.759,113.4513394,,14094.12968,13752.47388,13410.81808
10/31/2020 14:00,13895.26,13898,13847.5,13860.97,864.3367,108.8373453,,14092.40313,13762.80685,13433.21056
10/31/2020 14:30,13860.97,13870,13775,13780.01,1523.1504,97.52373352,,14075.00488,13764.44524,13453.8856
10/31/2020 15:00,13779.58,13842.59,13777.85,13811.47,948.4898,90.05804068,,14060.75723,13768.92379,13477.09035
10/31/2020 15:30,13811.46,13813.17,13730,13810.07,1440.1958,83.07086776,104.3993033,14043.17878,13772.84248,13502.50618
10/31/2020 16:00,13810.07,13882.18,13778.31,13854.14,1046.8595,80.16546598,99.55253587,14017.5932,13780.5851,13543.577
10/31/2020 16:30,13855.2,13883.55,13826.16,13826.16,1105.3345,74.74356469,94.59074163,13993.28284,13784.92557,13576.56829
10/31/2020 17:00,13826.16,13837.78,13799.71,13818.48,657.4872,69.03120824,89.47883495,13980.86473,13788.12123,13595.37773
10/31/2020 17:30,13818.49,13819.47,13747,13747.01,936.4874,58.06772432,83.19661283,13952.33829,13784.20587,13616.07346
10/31/2020 18:00,13747.01,13792.14,13732.48,13778.28,741.6847,51.31083266,76.81945679,13924.37618,13783.6415,13642.90683
