Date,Open,High,Low,Last,Diff_Open_Cls
7/17/2014,613.03,628.94,610,623.01,-9.98
7/18/2014,622.73,632.8,618.46,629.7,-6.97
7/19/2014,629.71,632.06,624.95,627.53,2.18
7/20/2014,628.88,628.89,619.99,624.66,4.22
7/21/2014,624.49,625.31,615.04,620,4.49
7/22/2014,620.12,624.98,618.45,619.01,1.11
7/23/2014,619.01,622.99,615.65,619.01,0
7/24/2014,619.01,621.47,591.5,603,16.01
7/25/2014,601.66,609.56,592.95,600.83,0.83
7/26/2014,602.9,602.9,590,595.05,7.85
7/27/2014,595.12,602.82,589.3,591.79,3.33
7/28/2014,591.8,594.73,570.5,587.73,4.07
7/29/2014,586.54,591.15,578,583.22,3.32
7/30/2014,583.23,585.86,557.4,561.24,21.99
7/31/2014,561.3,589.08,555.9,582.03,-20.73
8/1/2014,582.04,606.97,581.77,596.76,-14.72
8/2/2014,596.76,598.6,584.95,588.91,7.85
8/3/2014,588.47,591,578.24,588.73,-0.26
8/4/2014,586.94,595.69,581.8,588.3,-1.36
8/5/2014,588.3,588.98,578.25,580.35,7.95
8/6/2014,580.35,586.35,576.44,581.17,-0.82
8/7/2014,581.16,591.89,579,585.01,-3.85
8/8/2014,584.8,594.99,583.9,588.02,-3.22
8/9/2014,588.6,590.53,585.2,587.79,0.81
8/10/2014,587.62,596.99,586,588.75,-1.13
8/11/2014,588.75,590.98,571.07,572.7,16.05
8/12/2014,572.7,573.48,561.9,567.18,5.52
8/13/2014,567.31,571.99,524.55,548.8,18.51
8/14/2014,548.8,549.99,497.01,507.02,41.78
8/15/2014,507.02,520.84,481.55,500.21,6.81
8/16/2014,500.25,529.69,485.01,521.97,-21.72
8/17/2014,521.97,524.5,485.39,497.65,24.32
8/18/2014,496.86,510,441.99,472.83,24.03
8/19/2014,472.41,493.8,453.01,491.54,-19.13
8/20/2014,491.54,527.01,465.99,516.39,-24.85
8/21/2014,516.39,533.99,510.76,519.28,-2.89
8/22/2014,519.29,526.85,500.01,513.06,6.23
8/23/2014,513.09,514.68,486.99,494.56,18.53
8/24/2014,495.02,514.11,495.02,506.09,-11.07
8/25/2014,506.09,507.56,496.75,501.73,4.36
8/26/2014,501.76,515.76,501.76,512.14,-10.38
8/27/2014,512.18,523.03,510.21,510.22,1.96
8/28/2014,510.32,514.96,505.93,506,4.32
8/29/2014,506,514.48,501.25,507.95,-1.95
8/30/2014,507.95,509.3,498.32,500.85,7.1
8/31/2014,500.85,504.74,473.33,477.75,23.1
9/1/2014,477.77,490,472.01,474.54,3.23
9/2/2014,473.92,484.56,470.42,474.12,-0.2
9/3/2014,474.12,477.98,471,472.56,1.56
9/4/2014,473.13,496.98,471.04,487.44,-14.31
9/5/2014,487.44,489.65,473.03,477.02,10.42
9/6/2014,477.64,484.99,477.1,478.41,-0.77
9/7/2014,478.61,482.9,474.94,476.37,2.24
9/8/2014,475.43,478.38,456.3,467.23,8.2
9/9/2014,467.41,476.33,459.51,473.27,-5.86
9/10/2014,473.2,491.95,473.2,476.59,-3.39
9/11/2014,476.57,479.91,465.64,475.9,0.67
9/12/2014,475.48,477.95,462,472.81,2.67
9/13/2014,472.17,480.02,467.5,476.88,-4.71
9/14/2014,477.05,481.51,473.59,474.13,2.92
9/15/2014,474.14,479.1,467.75,469.26,4.88
9/16/2014,469.26,473.58,462,462.02,7.24
9/17/2014,463.29,465.14,443.57,452.09,11.2
9/18/2014,452.1,452.1,408.33,425.02,27.08
9/19/2014,424.79,428.98,378.78,395.7,29.09
9/20/2014,395.72,431.1,390,408.75,-13.03
9/21/2014,408.82,413.28,389.85,399.75,9.07
9/22/2014,399.56,409.08,396.27,399,0.56
9/23/2014,399.77,452.61,393.6,439.36,-39.59
9/24/2014,438.97,441,418.83,422.58,16.39
9/25/2014,423.57,423.75,399.97,408.77,14.8
9/26/2014,408.61,414.01,396.53,403.57,5.04
9/27/2014,403.56,408.7,396.56,399.15,4.41
9/28/2014,399.16,402.78,368.9,375.21,23.95
9/29/2014,375.22,386.01,366.12,373.17,2.05
9/30/2014,373.19,397.66,371.8,389.54,-16.35
10/1/2014,389.55,393.02,377.07,382.96,6.59
10/2/2014,383.04,385.57,372,372,11.04
10/3/2014,374.62,377.77,353.75,357.49,17.13
10/4/2014,358.38,364.86,322.04,326.21,32.17
10/5/2014,326.24,338.78,275,321.33,4.91
10/6/2014,321.68,346.93,295.89,327.93,-6.25
10/7/2014,327.93,336.53,312.37,333.89,-5.96
10/8/2014,334.79,357.99,326.93,355.71,-20.92
10/9/2014,355.19,395.5,349,364,-8.81
10/10/2014,364.01,380,351.1,360,4.01
10/11/2014,360,367,352.1,362.61,-2.61
10/12/2014,362.01,383,354.73,378.11,-16.1
10/13/2014,378.13,403.81,368.07,392.6,-14.47
10/14/2014,392.6,416.64,390.48,402.01,-9.41
10/15/2014,402.01,403.18,385.92,393.55,8.46
10/16/2014,393.58,398.88,370.1,382.6,10.98
10/17/2014,382.6,385.28,371.01,382.14,0.46
10/18/2014,382.15,397.27,377.01,390.79,-8.64
10/19/2014,390.12,394.24,385,387.61,2.51
10/20/2014,387.62,389.26,376.2,380.63,6.99
10/21/2014,381,393.13,378.98,384.08,-3.08
10/22/2014,385.14,388.79,380,382.04,3.1
10/23/2014,382.05,384,352.4,356.55,25.5
10/24/2014,356.55,363.6,344.34,356.72,-0.17
10/25/2014,358.01,359.09,341.22,347.74,10.27
10/26/2014,347.75,362.84,344.51,354.37,-6.62
10/27/2014,354.37,358.6,349.21,350,4.37
10/28/2014,350,357.68,350,354.78,-4.78
10/29/2014,354.78,355.97,333.33,335.7,19.08
10/30/2014,335.7,352.8,332.99,345.24,-9.54
10/31/2014,345.25,347.95,335.5,337.09,8.16
11/1/2014,337.74,339.29,316.61,324.53,13.21
11/2/2014,324.53,328.63,318.24,322.83,1.7
11/3/2014,322.76,333.98,322.74,325.51,-2.75
11/4/2014,325.5,332.89,321.43,329.66,-4.16
11/5/2014,329.73,344.12,328.8,337.35,-7.62
11/6/2014,337.2,353.08,336.27,349.79,-12.59
11/7/2014,349.79,352,340.45,341.97,7.82
11/8/2014,341.97,347.5,340.6,345.38,-3.41
11/9/2014,345.39,366.01,343.45,364.76,-19.37
11/10/2014,364.79,377.05,357.3,366.43,-1.64
11/11/2014,366.43,371.46,360.28,369.05,-2.62
11/12/2014,369.06,434.66,369.06,426.02,-56.96
11/13/2014,426.02,453.89,381.55,417.85,8.17
11/14/2014,417.85,420,382.93,399.71,18.14
11/15/2014,399.72,407.18,369,376.11,23.61
11/16/2014,376.11,394.86,375,389.76,-13.65
11/17/2014,389.83,414.88,375,387.62,2.21
11/18/2014,387.74,394.6,371,373.95,13.79
11/19/2014,373.96,386,371.7,378.29,-4.33
11/20/2014,378.31,381.09,351.8,356.24,22.07
11/21/2014,356.24,358.46,342.05,350.28,5.96
11/22/2014,350.74,365.85,350.3,353.01,-2.27
11/23/2014,353.13,373.46,353.01,367.18,-14.05
11/24/2014,367,389.98,366.66,374.62,-7.62
11/25/2014,375.1,395,375.1,378.28,-3.18
11/26/2014,376.04,378.49,363.39,368.4,7.64
11/27/2014,368.42,375.31,366.37,369.3,-0.88
11/28/2014,369.3,381.2,357.99,375.68,-6.38
11/29/2014,375.69,386.4,372.27,375.21,0.48
11/30/2014,375.2,381.78,373.32,375.48,-0.28
12/1/2014,375.88,382.27,373.03,376.51,-0.63
12/2/2014,376.51,382.86,375.24,379.57,-3.06
12/3/2014,379.52,381.99,374.01,376.29,3.23
12/4/2014,375.27,378.98,360,367.8,7.47
12/5/2014,367.81,377.88,365.61,375.13,-7.32
12/6/2014,375.18,376.94,371.31,374.01,1.17
12/7/2014,374.01,377.49,373.1,376,-1.99
12/8/2014,376.03,377.05,359.01,362.17,13.86
12/9/2014,361.29,363.68,344.01,350.79,10.5
12/10/2014,350.74,352.99,345,345.2,5.54
12/11/2014,345.21,364.4,339.8,348.63,-3.42
12/12/2014,348.62,358.39,348,352.23,-3.61
12/13/2014,352.24,354.4,347.03,350.19,2.05
12/14/2014,350.2,359.29,347.44,356.52,-6.32
12/15/2014,356.52,356.88,346.33,347.93,8.59
12/16/2014,347.93,349.34,327.34,328.65,19.28
12/17/2014,328.67,335.98,315.23,320.72,7.95
12/18/2014,321.36,325.21,304.98,312.48,8.88
12/19/2014,312.48,319.99,307.11,318.57,-6.09
12/20/2014,318.35,332.96,316.52,330.21,-11.86
12/21/2014,330.25,331.02,318.78,320.01,10.24
12/22/2014,320.01,333.98,319.9,331.53,-11.52
12/23/2014,331.58,338.98,327.49,335.41,-3.83
12/24/2014,335.83,336.66,320.92,321.62,14.21
12/25/2014,321.97,323.6,316.63,319.19,2.78
12/26/2014,319.19,331.9,316.64,328.27,-9.08
