Date,Open,High,Low,Last
11/9/2020 3:00,15539.15,15588.37,15448.6,15479
11/9/2020 4:00,15483.44,15500.02,15398.99,15453.22
11/9/2020 5:00,15453.22,15459.15,15365.8,15369.9
11/9/2020 6:00,15403.11,15512.47,15319.21,15488.27
11/9/2020 7:00,15491.5,15492,15366.5,15400.57
11/9/2020 8:00,15400.57,15468.58,15294.8,15327
11/9/2020 9:00,15320.66,15437,15140.16,15407.44
11/9/2020 10:00,15412.77,15478.19,15386.75,15419.26
11/9/2020 11:00,15420.75,15511,15416.1,15487.14
11/9/2020 12:00,15486.48,15851.63,15458.46,15798.74
11/9/2020 13:00,15805.81,15808,15399.09,15577.51
11/9/2020 14:00,15575,15591.28,15148.16,15291.24
11/9/2020 15:00,15282.82,15402.84,15021.53,15077.43
11/9/2020 16:00,15077.43,15173,14933.71,15010
11/9/2020 17:00,15010,15142.56,14818,15121.31
11/9/2020 18:00,15112.94,15255.38,15062.41,15235.09
11/9/2020 19:00,15244.47,15343.84,15162.12,15338.49
11/9/2020 20:00,15327.86,15469.09,15276.09,15380.81
11/9/2020 21:00,15380.81,15508.22,15328.12,15385.74
11/9/2020 22:00,15385.74,15452.67,15306.3,15389.6
11/9/2020 23:00,15389.6,15437.89,15225,15260.58
11/10/2020,15238,15363.13,15234,15341.64
11/10/2020 1:00,15335.36,15358.87,15184.54,15308.01
11/10/2020 2:00,15311.19,15410.12,15260.3,15404.2
11/10/2020 3:00,15393.06,15441.72,15337.5,15352.82
11/10/2020 4:00,15353.5,15380,15240.73,15329
11/10/2020 5:00,15351.51,15432.8,15306,15400.55
11/10/2020 6:00,15400.56,15460.16,15313.03,15378.19
11/10/2020 7:00,15377.99,15405.95,15248.5,15296.35
11/10/2020 8:00,15296,15357.98,15256,15292.95
11/10/2020 9:00,15292.95,15479.89,15265.8,15383.43
11/10/2020 10:00,15383.43,15463.22,15358.9,15402.13
11/10/2020 11:00,15403.66,15452.22,15307.49,15330.92
11/10/2020 12:00,15330.92,15343.83,15177,15304.65
11/10/2020 13:00,15299.27,15415.31,15226.99,15312.67
11/10/2020 14:00,15304,15357.38,15186.25,15327.28
11/10/2020 15:00,15326.61,15353.14,15166.34,15236.78
11/10/2020 16:00,15236.78,15281.95,15090.48,15180.09
11/10/2020 17:00,15186.22,15299.67,15121.1,15258
11/10/2020 18:00,15263.41,15342.74,15235.87,15321.1
11/10/2020 19:00,15258,15324.72,15185.26,15289.19
11/10/2020 20:00,15258,15362.54,15257.4,15315.99
11/10/2020 21:00,15314.56,15353,15258,15301.19
11/10/2020 22:00,15300.32,15402.32,15258,15398.69
11/10/2020 23:00,15389.5,15418.2,15258,15258
11/11/2020,15383.51,15393.84,15258,15312.41
11/11/2020 1:00,15313.53,15515.88,15258,15478.72
11/11/2020 2:00,15478.72,15507.25,15398.27,15452.19
11/11/2020 3:00,15455.78,15464.83,15258,15258
11/11/2020 4:00,15405.86,15461.08,15258,15422.19
11/11/2020 5:00,15417.48,15459.59,15258,15393.98
11/11/2020 6:00,15389.54,15419.73,15258,15391.57
11/11/2020 7:00,15391.57,15432.63,15258,15373.81
11/11/2020 8:00,15378.17,15429.99,15258,15411.1
11/11/2020 9:00,15411.1,15455.21,15258,15413
11/11/2020 10:00,15409.75,15483.12,15258,15435.4
